Tаблица 1
Area;Floor;Rooms;Latitude;Longitude;Price;;
120;1;3;45.0188903;38.9662565;14000000;;
78;3;3;45.0308851;38.9138662;6850000;;
35;7;1;45.0308851;38.9138662;3200000;;
70;8;3;45.027036;38.904344;6300000;;
34;22;1;45.0011666;39.0218939;3500000;;
81;16;3;45.0011666;39.0218939;7300000;;
60;6;2;45.0922092;39.0074488;3100000;;
77;4;3;45.1130312;38.928398;5000000;;
41;2;1;45.1130312;38.928398;2500000;;
62;7;2;45.1130312;38.928398;39000000;;
